road,model_type,condition,name,lat,lon,length,chainage,road name2
N1,bridge,A,PODUA NOYA PARA BOX CULVERT,22.0569722222222,92.1092222222222,8.2,296.135,
N1,bridge,A,PODUA BAZAR BOX CULVERT,22.05225,92.1092777777777,12.6,296.647,
N1,bridge,A,PODUA BAZAR BOX CULVERT,22.0486944444444,92.1083611111111,6.0,297.034,
N1,bridge,A,BARO AWLIA(R),22.0442222222222,92.1074444444444,13.64,297.569,
N1,bridge,A,TALOCKDNR PARA BOX CULVERT,22.0443888888888,92.1073333333333,2.5,298.405,
N1,bridge,A,AMIRABAD BOX CULVERT,22.0317222222222,92.1040277777777,2.5,299.057,
N1,bridge,A,Amirabad Bridge,22.0287013636363,92.1034293272727,68.8,299.434,
N1,bridge,A,AMIRABAD LOHAGOR BOX CULVERT,22.0263055555555,92.1026111111111,2.0,299.756,
N1,bridge,A,AMIRABAD LOHAGORA BOX CULVERT,22.0204166666666,92.1015277777777,10.0,300.406,
N1,bridge,A,LOHAGORA L.S BOX CULVERT,22.0076111111111,92.0926666666666,3.0,302.237,
N1,bridge,A,DIGIRPARK BOX CULVERT,22.00375,92.09025,12.6,302.729,
