road,id,model_type,name,lat,lon,length,condition
N1,1000157,bridge,bridge 79,23.1961887953757,91.3176705069364,6.1,A
N1,1000158,link,link 79,122.603,122.603,3.844999999999999,
N1,1000159,bridge,bridge 80,23.1635138669191,91.3215889464646,9.5,A
N1,1000160,link,link 80,126.448,126.448,4.464000000000013,
N1,1000161,bridge,bridge 81,23.1252363577777,91.3303863688888,6.5,A
N1,1000162,link,link 81,130.912,130.912,2.242999999999995,
N1,1000163,bridge,bridge 82,23.1074284451388,91.3400495436111,6.1,A
N1,1000164,link,link 82,133.155,133.155,1.8189999999999884,
N1,1000165,bridge,bridge 83,23.0930298369186,91.3478308386627,3.1,A
N1,1000166,link,link 83,134.974,134.974,1.4010000000000105,
N1,1000167,bridge,bridge 84,23.0819909531309,91.3541811474383,3.5,A
N1,1000168,link,link 84,136.375,136.375,5.156000000000006,
N1,1000169,bridge,bridge 85,23.0379728055555,91.3656784724359,10.8,A
N1,1000170,link,link 85,141.531,141.531,1.2620000000000005,
N1,1000171,bridge,bridge 86,23.0269801170731,91.3655004839721,1.6,A
N1,1000172,link,link 86,142.793,142.793,2.1459999999999866,
N1,1000173,bridge,bridge 87,23.0124048410423,91.3779796149837,3.4,A
N1,1000174,link,link 87,144.939,144.939,2.3569999999999993,
N1,1000175,bridge,bridge 88,22.999248756,91.3957752,1.5,A
N1,1000176,link,link 88,147.296,147.296,0.8550000000000182,
N1,1000177,bridge,bridge 89,22.9947280792802,91.4022894900763,23.4,A
N1,1000178,link,link 89,148.151,148.151,0.022999999999996135,
N1,1000179,bridge,bridge 90,22.9945936133042,91.4024539137404,22.15,A
N1,1000180,link,link 90,148.174,148.174,0.32099999999999795,
N1,1000181,bridge,bridge 91,22.9927169359869,91.4047486961832,1.9,A
N1,1000182,link,link 91,148.495,148.495,9.536000000000001,
N1,1000183,bridge,bridge 92,22.9486038666666,91.4794993833333,1.5,A
N1,1000184,link,link 92,158.031,158.031,7.151999999999987,
N1,1000185,bridge,bridge 93,22.9149647061403,91.5262895350877,222.43,A
N1,1000186,link,link 93,165.183,165.183,0.6419999999999959,
N1,1000187,bridge,bridge 94,22.9097128884012,91.5289285034482,6.1,A
N1,1000188,link,link 94,165.825,165.825,0.6540000000000248,
N1,1000189,bridge,bridge 95,22.9042462955223,91.5316297776119,3.0,A
N1,1000190,link,link 95,166.479,166.479,1.4839999999999804,
N1,1000191,bridge,bridge 96,22.8916386,91.5354719,3.0,A
N1,1000192,link,link 96,167.963,167.963,1.9699999999999989,
N1,1000193,bridge,bridge 97,22.8746986941176,91.5408836647058,4.3,A
N1,1000194,link,link 97,169.933,169.933,0.24100000000001387,
N1,1000195,bridge,bridge 98,22.872722034892,91.5415958766187,2.0,A
N1,1000196,link,link 98,170.174,170.174,0.5509999999999877,
N1,1000197,bridge,bridge 99,22.8680563702127,91.5432963340425,1.5,A
